"column","type","na_count","value_summary"
"inc_key","numerical",0,"180008918084 to 230079346718"
"ageyears","numerical",0,"18 to 89"
"totalgcs","numerical",0,"3 to 15"
"iss","numerical",0,"1 to 75"
"totalventdays","numerical",5510,"1 to 151"
"totaliculos","numerical",610,"1 to 151"
"finaldischargedays","numerical",110,"1 to 335"
"withdrawallstdays","numerical",16816,"1 to 192"
"tbicerebralmonitordays","numerical",9534,"1 to 83"
"hospitalprocedurestartdays","numerical",33,"1 to 151"
"ais_head","numerical",0,"2 to 9"
"ais_nonhead","numerical",0,"0 to 2"
"year","numerical",0,"2018 to 2023"
"neurosurg_any","numerical",0,"0 to 1"
"mort_inhospital","numerical",27,"0 to 1"
"ltc_inhospital","numerical",27,"0 to 1"
"withdrawallst_bin","numerical",15,"0 to 1"
"distance","numerical",0,"0.116359174909998 to 0.548897623057782"
"weights","numerical",0,"1 to 1"
"sex","categorical",0,"Male, Female"
"minority","categorical",0,"White, Minority"
"verificationlevel","categorical",0,"2, 1, 3"
"teachingstatus","categorical",0,"0, 1"
"hospdischargedisposition","categorical",27,"13 categories"
"icpparench","categorical",0,"No, Yes"
"icpevdrain","categorical",0,"No, Yes"
"icd_procedures","categorical",0,"19282 categories"
"icd_diagnoses","categorical",0,"15703 categories"
"ich_category","categorical",0,"isolated SDH, >=2 concomitant ICHs, isolated SAH, isolated IPH, other/unspecified ICH, isolated EDH"
"withdrawallst","categorical",15,"No, Yes"
"statedesignation","categorical",0,"2, 1, 3"
"tbimidlineshift","categorical",0,"No, Yes"
"trach","categorical",0,"No, Yes"
"gastro","categorical",0,"No, Yes"
"gcs_cat","categorical",0,"Mild, Severe, Moderate"
"subclass","categorical",0,"9854 categories"
